Timestamp,Device,IP,tcpActiveOpens,tcpCurrEstab,tcpEstabResets,tcpInSegs,tcpOutRsts,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,udpInDatagrams,udpInErrors,udpNoPorts,udpOutDatagrams,ipForwDatagrams,ipInAddrErrors,ipInDelivers,ipInDiscards,ipInReceives,ipOutNoRoutes,ipOutDiscards,ipOutRequests,icmpInDestUnreachs,icmpInEchos,icmpInMsgs,icmpOutDestUnreachs,icmpOutEchoReps,icmpOutMsgs,ifInOctets_enp0s3,ifInUcastPkts_enp0s3,ifInNUcastPkts_enp0s3,ifInDiscards_enp0s3,ifOutOctets_enp0s3,ifOutUcastPkts_enp0s3,ifOutNUcastPkts_enp0s3,ifOutDiscards_enp0s3,ifInOctets_enp0s8,ifInUcastPkts_enp0s8,ifInNUcastPkts_enp0s8,ifInDiscards_enp0s8,ifOutOctets_enp0s8,ifOutUcastPkts_enp0s8,ifOutNUcastPkts_enp0s8,ifOutDiscards_enp0s8,ifInOctets_enp0s9,ifInUcastPkts_enp0s9,ifInNUcastPkts_enp0s9,ifInDiscards_enp0s9,ifOutOctets_enp0s9,ifOutUcastPkts_enp0s9,ifOutNUcastPkts_enp0s9,ifOutDiscards_enp0s9,ifInOctets_enp0s10,ifInUcastPkts_enp0s10,ifInNUcastPkts_enp0s10,ifInDiscards_enp0s10,ifOutOctets_enp0s10,ifOutUcastPkts_enp0s10,ifOutNUcastPkts_enp0s10,ifOutDiscards_enp0s10
2026-05-11 14:34:39,device1,172.16.0.80,267,3,0,1532,90,1865,95,1176,789,0,62,1081,0,0,2468,0,2468,0,20,3648,62,1,63,62,1,63,2297017,2389,0,0,1233467,3249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-11 14:34:39,device2,172.16.0.1,10,0,1,270725,9,158506,0,0,118,0,40,158,787136,0,270969,0,1058107,0,20,158722,40,0,40,59,0,59,3179891234,2169085,7,0,24042246,395447,0,0,14607410,236825,0,0,3638582099,1555108,0,0,1273614,3474,0,0,3645499,2686,0,0,0,0,0,0,0,0,0,0
2026-05-11 14:34:39,device3,10.0.0.1,9,0,1,643,9,517,0,0,60,0,40,162,763759,0,786,0,764555,0,20,733,40,0,40,44,0,44,2278760576,1554600,0,0,14746658,237107,0,0,939652,11704,0,0,94362934,43085,0,0,13560096,224545,0,0,3550780656,1511310,0,0,0,0,0,0,0,0,0,0
2026-05-11 14:34:39,device4,192.168.10.10,147,3,6,17865,91,11281,0,14,584,0,42,823,0,0,18771,0,18771,0,20,12087,54,0,55,42,0,43,60479956,42830,0,0,940885,11720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-11 14:34:54,device1,172.16.0.80,267,3,1,1732,95,2173,122,1182,1014,0,62,1137,0,0,2875,0,2875,0,20,3914,62,3,65,62,3,65,2842879,2979,0,0,1479524,3628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-11 14:34:54,device2,172.16.0.1,10,0,1,270725,9,158506,0,0,177,0,40,217,788134,0,270985,0,1059121,0,20,158781,40,0,40,59,0,59,3179891778,2169094,7,0,24047408,395515,0,0,15168435,237595,0,0,3639007941,1555609,0,0,1535339,4036,0,0,4405608,3457,0,0,0,0,0,0,0,0,0,0
2026-05-11 14:34:54,device3,10.0.0.1,9,0,1,643,9,517,0,0,124,0,40,226,764626,0,850,0,765486,0,20,796,40,0,40,44,0,44,2279017002,1555101,0,0,15504767,237879,0,0,1490428,12349,0,0,94781428,43515,0,0,13564680,224616,0,0,3550781292,1511320,0,0,0,0,0,0,0,0,0,0
2026-05-11 14:34:54,device4,192.168.10.10,174,3,6,18057,91,11638,0,14,700,0,42,1107,0,0,19047,0,19047,0,20,12574,54,0,57,42,0,45,60726805,43217,0,0,1491661,12365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-11 14:35:09,device1,172.16.0.80,268,1,2,2060,109,2667,162,1190,1343,0,62,1198,0,0,3535,0,3535,0,20,4302,62,6,68,62,6,68,3819492,3955,0,0,1859018,4193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-05-11 14:35:09,device2,172.16.0.1,14,0,1,271351,14,158975,0,0,245,0,40,285,789591,0,271677,0,1061270,0,20,159316,40,0,40,59,0,59,3181950404,2170548,8,0,24087241,396101,0,0,16165313,238802,0,0,3639804630,1556375,0,0,1930367,4782,0,0,5800640,4614,0,0,0,0,0,0,0,0,0,0
2026-05-11 14:35:09,device3,10.0.0.1,9,0,1,643,9,517,0,0,187,0,40,290,765941,0,913,0,766864,0,20,861,40,0,40,44,0,44,2279508427,1555867,0,0,16905715,239425,0,0,2471531,13375,0,0,95402741,44120,0,0,13573638,224722,0,0,3550951341,1511420,0,0,0,0,0,0,0,0,0,0
2026-05-11 14:35:09,device4,192.168.10.10,213,1,7,18368,91,12273,0,15,819,0,42,1494,0,0,19478,0,19478,0,20,13281,54,0,60,42,0,48,61099834,43831,0,0,2472764,13391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
